INFO 2025-04-15 23:40:32,944 autoreload 21000 10304 Watching for file changes with StatReloader
INFO 2025-04-15 23:41:28,031 autoreload 21000 10304 D:\py_code\student_management\sms_project\sms_project\urls.py changed, reloading.
INFO 2025-04-15 23:41:28,472 autoreload 18176 11992 Watching for file changes with StatReloader
INFO 2025-04-15 23:41:29,635 autoreload 18176 11992 D:\py_code\student_management\sms_project\sms_project\urls.py changed, reloading.
INFO 2025-04-15 23:41:30,056 autoreload 21100 1540 Watching for file changes with StatReloader
INFO 2025-04-15 23:41:37,880 autoreload 24436 21136 Watching for file changes with StatReloader
INFO 2025-04-15 23:41:41,600 basehttp 24436 21840 "GET /students/ HTTP/1.1" 302 0
WARNING 2025-04-15 23:41:41,611 log 24436 21840 Not Found: /accounts/login/
WARNING 2025-04-15 23:41:41,612 basehttp 24436 21840 "GET /accounts/login/?next=/students/ HTTP/1.1" 404 3782
WARNING 2025-04-15 23:41:42,953 log 24436 21840 Not Found: /accounts/login/
WARNING 2025-04-15 23:41:42,954 basehttp 24436 21840 "GET /accounts/login/?next=/students/ HTTP/1.1" 404 3782
WARNING 2025-04-15 23:41:43,496 log 24436 21840 Not Found: /accounts/login/
WARNING 2025-04-15 23:41:43,497 basehttp 24436 21840 "GET /accounts/login/?next=/students/ HTTP/1.1" 404 3782
WARNING 2025-04-15 23:41:43,744 log 24436 21840 Not Found: /accounts/login/
WARNING 2025-04-15 23:41:43,745 basehttp 24436 21840 "GET /accounts/login/?next=/students/ HTTP/1.1" 404 3782
INFO 2025-04-15 23:41:50,927 basehttp 24436 21840 "GET /students/ HTTP/1.1" 302 0
WARNING 2025-04-15 23:41:50,937 log 24436 21840 Not Found: /accounts/login/
WARNING 2025-04-15 23:41:50,937 basehttp 24436 21840 "GET /accounts/login/?next=/students/ HTTP/1.1" 404 3782
INFO 2025-04-15 23:42:38,313 autoreload 24436 21136 D:\py_code\student_management\sms_project\sms_project\settings.py changed, reloading.
INFO 2025-04-15 23:42:38,765 autoreload 13912 10804 Watching for file changes with StatReloader
INFO 2025-04-15 23:42:53,186 autoreload 13912 10804 D:\py_code\student_management\sms_project\sms_project\settings.py changed, reloading.
INFO 2025-04-15 23:42:53,624 autoreload 2804 4656 Watching for file changes with StatReloader
WARNING 2025-04-15 23:42:56,659 log 2804 18524 Not Found: /accounts/login/
WARNING 2025-04-15 23:42:56,659 basehttp 2804 18524 "GET /accounts/login/?next=/students/ HTTP/1.1" 404 3782
WARNING 2025-04-15 23:42:57,548 log 2804 18524 Not Found: /accounts/login/
WARNING 2025-04-15 23:42:57,548 basehttp 2804 18524 "GET /accounts/login/?next=/students/ HTTP/1.1" 404 3782
WARNING 2025-04-15 23:42:58,156 log 2804 18524 Not Found: /accounts/login/
WARNING 2025-04-15 23:42:58,156 basehttp 2804 18524 "GET /accounts/login/?next=/students/ HTTP/1.1" 404 3782
INFO 2025-04-15 23:43:19,354 basehttp 2804 18524 "GET /students/ HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:19,361 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:19,367 basehttp 2804 18524 "GET /login/?next=/students/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:19,368 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:19,377 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:19,379 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:19,384 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:19,389 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:19,389 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:19,396 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:19,396 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:19,402 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:19,406 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
